grid_id,population,median_income,avg_age,household_size,employment_rate,education_index,urbanization_level,internet_penetration,smartphone_adoption
cell_0074,746,650704,28.0,3.68,0.749,0.741,0.882,0.816,0.768
cell_0075,822,635836,27.5,3.64,0.741,0.759,0.881,0.815,0.778
cell_0076,692,588813,28.7,3.59,0.725,0.77,0.893,0.78,0.78
cell_0077,801,573809,27.7,3.94,0.695,0.73,0.888,0.804,0.769
cell_0078,848,589223,27.6,3.65,0.749,0.756,0.877,0.788,0.787
cell_0079,752,620730,28.3,3.58,0.747,0.782,0.882,0.802,0.786
cell_0080,752,629460,28.3,3.77,0.737,0.783,0.895,0.787,0.736
cell_0081,984,573458,29.2,3.97,0.721,0.757,0.876,0.762,0.75
cell_0082,731,599354,27.7,3.82,0.75,0.738,0.875,0.805,0.757
cell_0083,736,575466,27.1,3.8,0.714,0.781,0.875,0.795,0.768
cell_0084,741,580076,29.3,3.64,0.714,0.719,0.897,0.79,0.766
cell_0085,771,584028,29.1,3.67,0.698,0.715,0.879,0.794,0.734
cell_0086,841,623024,27.8,3.75,0.724,0.724,0.869,0.813,0.787
cell_0087,722,637856,27.7,3.58,0.695,0.766,0.886,0.76,0.743
cell_0088,787,560444,26.9,3.94,0.697,0.761,0.871,0.765,0.744
cell_0089,933,660947,27.7,3.88,0.699,0.734,0.894,0.759,0.735
cell_0090,638,580498,28.2,3.76,0.748,0.774,0.874,0.775,0.753
cell_0091,760,635394,27.7,3.82,0.715,0.735,0.896,0.807,0.738
cell_0092,867,668924,28.8,3.77,0.686,0.733,0.881,0.798,0.745
cell_0093,804,680066,28.1,3.65,0.704,0.714,0.895,0.766,0.765
cell_0094,769,638776,28.9,3.67,0.685,0.723,0.894,0.814,0.766
cell_0095,860,579746,29.2,3.76,0.712,0.751,0.864,0.769,0.774
cell_0096,742,588423,27.7,3.7,0.71,0.766,0.873,0.794,0.759
cell_0097,940,648839,27.2,3.59,0.703,0.757,0.864,0.79,0.766
cell_0098,831,571218,26.8,3.9,0.72,0.764,0.878,0.774,0.779
cell_0099,908,591746,28.3,3.74,0.691,0.781,0.867,0.818,0.757
cell_0100,749,666245,28.7,3.94,0.731,0.764,0.892,0.774,0.759
cell_0101,856,675063,26.7,3.89,0.751,0.726,0.882,0.816,0.732
cell_0102,787,672625,29.3,4.0,0.718,0.777,0.892,0.779,0.78
cell_0103,732,586521,26.9,3.61,0.734,0.738,0.888,0.763,0.749
cell_0104,878,597525,28.4,3.98,0.728,0.73,0.863,0.813,0.731
cell_0105,880,674444,28.8,4.03,0.709,0.77,0.877,0.789,0.768
cell_0106,998,653266,27.8,3.76,0.737,0.73,0.866,0.781,0.747
cell_0107,700,563220,26.7,4.02,0.715,0.741,0.886,0.772,0.787
cell_0108,750,609780,29.1,4.0,0.718,0.759,0.868,0.821,0.744
cell_0109,925,633359,28.0,3.68,0.697,0.729,0.869,0.808,0.751
cell_0110,816,667589,29.2,4.03,0.697,0.742,0.889,0.802,0.739
cell_0111,789,585753,28.1,3.84,0.726,0.719,0.893,0.775,0.737
cell_0112,994,664904,28.9,3.87,0.724,0.719,0.877,0.782,0.745
cell_0113,842,568050,27.2,3.88,0.689,0.776,0.88,0.789,0.766
cell_0114,823,642074,28.2,3.69,0.747,0.772,0.886,0.812,0.782
cell_0115,925,644486,28.5,3.85,0.738,0.724,0.893,0.814,0.731
cell_0116,767,599555,28.7,3.65,0.743,0.775,0.88,0.759,0.747
cell_0117,941,636345,27.3,3.86,0.723,0.771,0.866,0.806,0.763
cell_0118,847,636445,29.2,3.62,0.751,0.764,0.865,0.777,0.773
cell_0119,735,600889,28.3,3.59,0.747,0.786,0.897,0.806,0.738
cell_0120,728,560743,27.5,3.79,0.739,0.764,0.878,0.776,0.79
cell_0121,774,578289,28.8,3.89,0.7,0.719,0.886,0.8,0.746
cell_0122,794,611610,29.2,3.76,0.73,0.742,0.872,0.821,0.754
cell_0123,805,584425,26.7,3.87,0.711,0.777,0.879,0.82,0.741
cell_0124,943,653594,29.0,3.92,0.729,0.722,0.864,0.817,0.767
cell_0125,852,572546,27.0,3.88,0.715,0.728,0.88,0.762,0.765
cell_0126,823,596485,27.9,3.58,0.689,0.742,0.879,0.796,0.747
cell_0127,928,654702,26.7,3.79,0.692,0.731,0.897,0.767,0.76
cell_0128,873,627396,26.6,3.72,0.721,0.719,0.875,0.76,0.734
cell_0129,694,628375,28.5,3.94,0.698,0.725,0.866,0.799,0.773
cell_0130,803,564444,28.1,3.9,0.747,0.766,0.891,0.78,0.779
cell_0131,805,625901,28.9,3.78,0.73,0.752,0.888,0.764,0.733
cell_0132,675,666101,27.2,4.02,0.708,0.726,0.89,0.8,0.76
cell_0133,864,586328,29.4,4.02,0.731,0.727,0.886,0.763,0.731
cell_0134,745,665666,28.6,3.91,0.715,0.738,0.875,0.821,0.732
cell_0135,891,612388,28.6,3.79,0.747,0.78,0.877,0.776,0.766
cell_0136,803,635248,28.4,3.91,0.693,0.766,0.894,0.77,0.744
cell_0137,805,663944,28.0,3.68,0.747,0.746,0.881,0.781,0.766
cell_0138,711,678207,27.3,3.87,0.707,0.771,0.867,0.82,0.757
cell_0139,653,579050,28.1,3.73,0.744,0.745,0.871,0.797,0.773
cell_0140,663,562547,28.7,3.87,0.718,0.776,0.891,0.795,0.782
cell_0141,657,591449,26.8,3.81,0.751,0.715,0.867,0.787,0.786
cell_0142,766,563155,27.0,4.02,0.753,0.713,0.896,0.799,0.782
cell_0143,795,618617,28.5,3.64,0.686,0.736,0.887,0.771,0.771
cell_0144,782,641403,27.8,3.97,0.697,0.764,0.892,0.818,0.771
cell_0145,828,665744,28.2,3.59,0.751,0.764,0.886,0.772,0.77
cell_0146,815,571218,28.4,4.03,0.687,0.786,0.877,0.813,0.777
cell_0147,871,666936,27.7,3.72,0.732,0.773,0.889,0.809,0.756
cell_0148,763,625517,26.6,3.72,0.71,0.742,0.887,0.783,0.757
cell_0149,721,586181,26.8,3.85,0.732,0.759,0.879,0.782,0.782
cell_0150,799,561180,27.6,3.75,0.713,0.756,0.881,0.797,0.776
cell_0151,916,676485,26.7,3.66,0.685,0.761,0.894,0.774,0.786
cell_0152,809,601601,26.9,3.79,0.702,0.734,0.873,0.809,0.762
cell_0153,789,646803,27.4,3.76,0.693,0.726,0.886,0.77,0.762
cell_0154,741,628347,27.3,4.01,0.719,0.773,0.882,0.761,0.768
cell_0155,914,659579,29.1,3.68,0.699,0.758,0.877,0.811,0.784
cell_0156,711,654785,27.4,3.95,0.715,0.763,0.866,0.798,0.757
cell_0157,735,649372,29.0,3.67,0.691,0.714,0.885,0.797,0.763
cell_0158,724,631715,28.0,4.02,0.694,0.765,0.877,0.785,0.773
cell_0159,960,573921,26.9,3.9,0.726,0.733,0.865,0.764,0.784
cell_0160,702,586105,27.6,3.6,0.721,0.718,0.891,0.773,0.762
cell_0161,912,624087,27.5,3.72,0.732,0.787,0.886,0.794,0.774
cell_0162,689,627725,29.3,3.65,0.734,0.728,0.881,0.765,0.757
cell_0163,810,640449,28.8,3.99,0.701,0.742,0.868,0.821,0.786
cell_0164,891,622599,28.3,3.61,0.738,0.722,0.891,0.808,0.773
cell_0165,669,590626,27.6,3.61,0.751,0.754,0.873,0.783,0.757
cell_0166,823,672005,28.0,4.02,0.745,0.728,0.895,0.766,0.779
cell_0167,865,665639,28.9,3.93,0.706,0.719,0.877,0.769,0.772
cell_0168,880,637481,28.9,3.63,0.746,0.782,0.88,0.797,0.776
cell_0169,738,607434,27.0,3.74,0.689,0.714,0.867,0.819,0.763
cell_0170,871,596665,28.0,3.77,0.692,0.761,0.87,0.798,0.769
cell_0171,637,654814,27.9,3.6,0.756,0.717,0.887,0.821,0.744
cell_0172,648,595606,26.9,3.89,0.688,0.751,0.897,0.81,0.767
cell_0173,791,623353,27.8,3.63,0.748,0.746,0.869,0.782,0.755
cell_0174,923,653394,26.6,3.76,0.719,0.714,0.872,0.806,0.738
cell_0175,738,559503,27.3,4.02,0.742,0.784,0.88,0.765,0.763
cell_0176,873,570162,28.0,3.64,0.707,0.768,0.879,0.782,0.754
cell_0177,860,668619,29.3,3.93,0.707,0.764,0.878,0.774,0.781
cell_0178,797,615223,28.4,3.87,0.748,0.76,0.884,0.763,0.761
cell_0179,785,621516,28.5,3.59,0.69,0.766,0.865,0.763,0.73
cell_0180,951,601803,27.4,3.73,0.74,0.762,0.869,0.769,0.736
cell_0181,897,590866,26.7,3.61,0.754,0.735,0.889,0.798,0.753
cell_0182,659,634262,28.8,3.87,0.722,0.716,0.896,0.809,0.747
cell_0183,919,630220,28.7,3.94,0.731,0.722,0.874,0.817,0.743
cell_0184,760,612486,28.3,4.0,0.701,0.722,0.869,0.814,0.769
cell_0185,831,664810,29.0,3.99,0.702,0.769,0.879,0.812,0.774
cell_0186,893,580001,28.1,4.02,0.751,0.716,0.868,0.767,0.774
cell_0187,787,620726,29.0,3.91,0.723,0.757,0.88,0.777,0.764
cell_0188,930,636900,28.7,3.64,0.717,0.713,0.871,0.804,0.79
cell_0189,702,657209,27.2,3.83,0.737,0.759,0.869,0.781,0.777
cell_0190,690,652363,26.7,3.91,0.699,0.784,0.875,0.779,0.739
cell_0191,849,681545,27.6,3.78,0.736,0.779,0.883,0.783,0.755
cell_0192,713,634829,27.6,3.93,0.691,0.757,0.879,0.799,0.734
cell_0193,830,627522,28.3,3.88,0.742,0.733,0.891,0.79,0.734
cell_0194,680,655327,28.6,3.93,0.721,0.746,0.868,0.779,0.756
cell_0195,661,632180,28.7,4.03,0.751,0.761,0.877,0.799,0.777
cell_0196,707,662135,27.7,3.83,0.726,0.726,0.875,0.78,0.731
cell_0197,779,591861,28.1,3.71,0.752,0.732,0.878,0.814,0.781
cell_0198,807,614815,28.0,3.63,0.69,0.767,0.88,0.786,0.774
cell_0199,764,633668,27.0,3.91,0.731,0.784,0.865,0.762,0.747
cell_0200,697,670376,27.3,3.7,0.739,0.746,0.89,0.763,0.759
cell_0201,617,670398,27.0,3.81,0.714,0.739,0.894,0.76,0.77
cell_0202,905,674166,26.7,3.76,0.703,0.767,0.897,0.775,0.769
cell_0203,757,615528,29.3,3.85,0.709,0.721,0.868,0.773,0.745
cell_0204,883,622900,26.9,3.96,0.736,0.718,0.887,0.793,0.735
cell_0205,788,578556,29.2,3.96,0.732,0.747,0.877,0.8,0.763
cell_0206,719,657994,27.9,3.6,0.741,0.728,0.872,0.769,0.75
cell_0207,854,583405,29.1,3.97,0.747,0.73,0.878,0.821,0.777
cell_0208,617,615527,29.1,3.82,0.72,0.72,0.886,0.81,0.753
cell_0209,972,583267,28.1,3.7,0.741,0.756,0.885,0.809,0.754
cell_0210,888,577586,28.5,3.93,0.707,0.777,0.894,0.776,0.789
cell_0211,666,580844,29.1,3.87,0.695,0.746,0.884,0.764,0.783
cell_0212,860,677924,27.8,4.02,0.732,0.76,0.868,0.814,0.756
cell_0213,628,627410,28.1,3.9,0.748,0.718,0.888,0.77,0.782
cell_0214,872,646070,27.5,3.79,0.743,0.747,0.875,0.79,0.78
cell_0215,693,646290,28.9,3.62,0.701,0.723,0.875,0.787,0.775
cell_0216,859,601694,29.0,3.79,0.754,0.76,0.867,0.801,0.749
cell_0217,728,579685,29.0,3.68,0.744,0.733,0.885,0.802,0.761
cell_0218,697,562115,27.5,3.87,0.752,0.778,0.889,0.808,0.77
cell_0219,846,641171,28.2,3.62,0.716,0.747,0.893,0.793,0.753
cell_0220,787,610396,26.7,3.91,0.75,0.734,0.893,0.777,0.785
cell_0221,926,560233,29.3,3.9,0.706,0.775,0.872,0.814,0.736
cell_0222,849,569970,27.3,3.58,0.718,0.735,0.883,0.777,0.748
cell_0223,732,669959,29.0,3.88,0.727,0.779,0.869,0.763,0.744
cell_0224,737,630268,29.4,3.96,0.722,0.717,0.892,0.796,0.737
cell_0225,811,640981,28.9,3.97,0.725,0.751,0.878,0.778,0.756
cell_0226,879,668673,27.8,3.85,0.729,0.757,0.887,0.773,0.761
cell_0227,699,618471,28.4,4.01,0.727,0.768,0.88,0.798,0.734
cell_0228,722,616589,26.7,3.64,0.704,0.785,0.874,0.789,0.742
cell_0229,767,583667,28.0,3.57,0.685,0.729,0.864,0.765,0.75
cell_0230,877,621571,27.4,4.0,0.713,0.719,0.884,0.766,0.751
cell_0231,891,619200,28.6,4.02,0.693,0.733,0.876,0.785,0.755
cell_0232,935,633380,27.5,3.95,0.753,0.774,0.862,0.799,0.733
cell_0233,654,632871,28.5,3.62,0.712,0.747,0.875,0.766,0.755
cell_0234,739,567942,27.6,4.0,0.732,0.763,0.875,0.796,0.73
cell_0235,929,633959,29.0,3.9,0.693,0.78,0.865,0.792,0.738
cell_0236,690,594585,28.0,3.84,0.687,0.722,0.882,0.78,0.774
cell_0237,915,643869,27.8,3.88,0.704,0.735,0.89,0.787,0.778
cell_0238,954,671663,27.8,3.72,0.726,0.74,0.884,0.803,0.771
cell_0239,698,611386,27.0,3.98,0.709,0.724,0.863,0.799,0.768
cell_0240,671,608794,27.5,3.88,0.728,0.74,0.87,0.821,0.757
cell_0241,746,618213,26.7,3.8,0.753,0.741,0.864,0.76,0.753
cell_0242,630,651770,27.9,3.7,0.749,0.721,0.896,0.778,0.784
cell_0243,900,680018,27.4,4.01,0.712,0.741,0.874,0.793,0.739
cell_0244,820,652476,28.9,3.77,0.706,0.732,0.869,0.762,0.75
cell_0245,862,627156,27.6,3.84,0.694,0.746,0.884,0.789,0.754
cell_0246,997,635302,28.2,3.86,0.698,0.742,0.864,0.788,0.763
cell_0247,852,670772,28.6,3.82,0.747,0.722,0.89,0.766,0.778
cell_0248,843,675061,27.0,3.78,0.755,0.749,0.893,0.796,0.752
cell_0249,691,652463,27.7,3.81,0.719,0.756,0.893,0.82,0.754
cell_0250,931,629118,29.3,3.66,0.692,0.777,0.878,0.812,0.784
cell_0251,798,613592,28.0,3.86,0.751,0.714,0.879,0.802,0.774
cell_0252,745,595125,27.6,3.94,0.704,0.728,0.896,0.759,0.79
cell_0253,916,594533,26.6,3.91,0.744,0.768,0.867,0.806,0.776
cell_0254,897,662894,28.3,3.61,0.719,0.718,0.877,0.784,0.734
cell_0255,681,658221,29.3,3.6,0.753,0.752,0.873,0.763,0.76
cell_0256,910,564228,26.8,3.76,0.705,0.73,0.872,0.809,0.786
cell_0257,877,597865,27.9,3.68,0.73,0.786,0.884,0.781,0.769
cell_0258,812,620382,27.9,3.84,0.729,0.718,0.886,0.774,0.773
cell_0259,941,626510,28.1,3.64,0.74,0.733,0.88,0.776,0.738
cell_0260,715,650832,27.5,3.57,0.721,0.716,0.872,0.803,0.733
cell_0261,736,588606,28.7,3.72,0.691,0.74,0.872,0.812,0.749
cell_0262,956,611793,29.1,3.74,0.753,0.719,0.887,0.79,0.753
cell_0263,876,558541,27.1,3.9,0.732,0.785,0.889,0.818,0.772
cell_0264,671,654946,28.4,3.59,0.71,0.784,0.88,0.786,0.757
cell_0265,715,603857,26.7,3.92,0.714,0.774,0.892,0.772,0.77
cell_0266,885,584752,28.5,3.85,0.705,0.723,0.885,0.805,0.749
cell_0267,802,646438,27.2,3.98,0.705,0.74,0.864,0.765,0.761
cell_0268,831,559822,27.7,3.73,0.685,0.722,0.877,0.79,0.754
cell_0269,829,559231,27.9,4.01,0.721,0.763,0.873,0.807,0.777
cell_0270,919,573568,26.6,3.92,0.742,0.722,0.872,0.76,0.747
cell_0271,857,601164,27.6,3.57,0.706,0.761,0.897,0.812,0.731
cell_0272,951,654767,27.9,3.75,0.706,0.717,0.87,0.774,0.759
cell_0273,841,565173,29.3,4.0,0.741,0.787,0.882,0.819,0.734
cell_0274,710,582283,27.0,3.86,0.74,0.756,0.868,0.81,0.768
cell_0275,819,590228,27.6,3.99,0.705,0.748,0.894,0.803,0.733
cell_0276,624,636234,27.9,3.63,0.753,0.752,0.871,0.79,0.771
cell_0277,670,658064,27.9,3.82,0.715,0.716,0.868,0.787,0.742
cell_0278,787,679668,28.8,3.96,0.701,0.785,0.869,0.819,0.79
cell_0279,962,628623,27.3,3.77,0.727,0.718,0.884,0.82,0.741
cell_0280,961,675019,29.3,3.81,0.754,0.769,0.868,0.789,0.773
cell_0281,783,640658,27.1,3.83,0.74,0.75,0.863,0.759,0.751
cell_0282,810,636661,27.2,3.72,0.745,0.767,0.866,0.785,0.731
cell_0283,835,572694,27.4,3.75,0.75,0.787,0.864,0.806,0.752
cell_0284,839,671885,29.3,3.84,0.71,0.772,0.871,0.794,0.751
cell_0285,765,581758,29.2,3.62,0.72,0.729,0.864,0.761,0.74
cell_0286,814,675857,28.2,3.77,0.726,0.751,0.889,0.776,0.751
cell_0287,993,668677,27.8,3.93,0.718,0.75,0.87,0.796,0.741
cell_0288,849,583677,26.8,3.6,0.752,0.751,0.877,0.81,0.78
cell_0289,812,653619,28.4,3.64,0.747,0.753,0.872,0.785,0.732
cell_0290,787,558001,27.8,3.81,0.688,0.785,0.87,0.778,0.748
cell_0291,636,648439,29.3,3.67,0.732,0.768,0.892,0.785,0.748
cell_0292,815,659281,27.1,3.74,0.749,0.773,0.897,0.806,0.754
cell_0293,857,567729,28.1,3.9,0.696,0.771,0.883,0.819,0.732
cell_0294,778,594773,28.6,3.92,0.691,0.751,0.88,0.782,0.786
cell_0295,914,646577,27.9,3.99,0.734,0.767,0.893,0.776,0.779
cell_0296,707,599616,29.3,3.96,0.734,0.767,0.882,0.818,0.76
cell_0297,699,655490,28.7,3.75,0.686,0.775,0.863,0.803,0.789
cell_0298,725,645404,28.9,3.82,0.754,0.716,0.88,0.804,0.782
cell_0299,805,626536,27.7,3.63,0.746,0.724,0.873,0.777,0.783
cell_0300,907,589058,28.3,3.83,0.744,0.78,0.863,0.801,0.733
cell_0301,758,596040,27.6,3.86,0.708,0.767,0.877,0.763,0.777
cell_0302,744,642995,27.5,3.6,0.711,0.783,0.885,0.801,0.768
cell_0303,724,651117,26.9,3.7,0.704,0.745,0.897,0.763,0.761
cell_0304,843,572050,27.7,3.91,0.735,0.744,0.875,0.784,0.746
cell_0305,740,591298,27.4,3.87,0.754,0.758,0.865,0.763,0.787
cell_0306,668,632282,28.3,3.87,0.703,0.714,0.896,0.774,0.771
cell_0307,867,596801,27.4,3.84,0.746,0.784,0.866,0.768,0.787
cell_0308,943,583126,28.2,3.89,0.733,0.743,0.863,0.795,0.745
cell_0309,899,607480,29.0,3.66,0.732,0.786,0.866,0.759,0.756
cell_0310,776,671404,27.8,3.69,0.715,0.767,0.863,0.796,0.767
cell_0311,762,646543,26.9,3.66,0.747,0.768,0.863,0.774,0.743
cell_0312,699,565753,27.9,3.91,0.728,0.763,0.865,0.819,0.781
cell_0313,942,673656,28.1,3.66,0.728,0.768,0.888,0.791,0.734
cell_0314,873,630472,28.1,3.69,0.711,0.78,0.886,0.808,0.757
cell_0315,763,645477,27.8,3.77,0.731,0.783,0.865,0.811,0.747
cell_0316,676,595330,28.0,3.6,0.719,0.782,0.866,0.807,0.755
cell_0317,770,577777,27.0,3.6,0.697,0.762,0.893,0.81,0.771
cell_0318,679,596416,27.3,3.81,0.723,0.739,0.875,0.811,0.778
cell_0319,858,676149,27.5,3.73,0.72,0.783,0.893,0.765,0.753
cell_0320,811,582039,29.0,3.88,0.744,0.777,0.889,0.786,0.767
cell_0321,773,580227,28.5,3.68,0.692,0.725,0.862,0.804,0.774
cell_0322,721,568361,26.7,3.65,0.748,0.731,0.875,0.765,0.743
cell_0323,830,588424,26.8,3.75,0.701,0.729,0.896,0.797,0.763
cell_0324,767,625072,28.6,3.89,0.696,0.75,0.877,0.813,0.768
cell_0325,713,633099,26.9,3.73,0.694,0.764,0.87,0.783,0.784
cell_0326,745,609990,26.7,3.93,0.689,0.748,0.882,0.798,0.771
cell_0327,642,647707,28.1,3.95,0.743,0.776,0.879,0.779,0.778
cell_0328,716,664017,29.1,3.78,0.689,0.742,0.891,0.815,0.742
cell_0329,798,606286,28.1,4.01,0.689,0.761,0.865,0.782,0.778
cell_0330,905,627323,27.5,3.67,0.709,0.74,0.865,0.782,0.758
cell_0331,882,645887,26.6,3.67,0.732,0.749,0.863,0.809,0.777
cell_0332,704,653048,28.2,3.93,0.738,0.773,0.881,0.767,0.77
cell_0333,883,579065,27.1,3.98,0.738,0.781,0.889,0.796,0.769
cell_0334,895,636417,27.0,3.79,0.736,0.733,0.87,0.778,0.744
cell_0335,728,670572,28.0,3.66,0.69,0.765,0.876,0.81,0.77
cell_0336,798,643853,27.3,4.0,0.73,0.737,0.872,0.77,0.772
cell_0337,767,590815,28.5,3.94,0.74,0.77,0.869,0.764,0.772
cell_0338,759,561862,27.3,3.59,0.747,0.731,0.882,0.761,0.77
cell_0339,857,668127,27.5,3.98,0.756,0.774,0.892,0.774,0.765
cell_0340,630,681863,27.5,3.91,0.742,0.777,0.898,0.774,0.732
cell_0341,696,560781,27.6,3.93,0.725,0.736,0.885,0.773,0.73
cell_0342,882,652526,26.7,3.95,0.729,0.755,0.884,0.813,0.765
cell_0343,936,651835,27.8,3.89,0.712,0.73,0.883,0.817,0.786
cell_0344,776,584243,29.4,4.02,0.731,0.773,0.888,0.796,0.733
cell_0345,833,642014,27.6,4.0,0.696,0.75,0.887,0.802,0.769
cell_0346,679,636857,28.3,3.65,0.735,0.747,0.886,0.811,0.74
cell_0347,767,633602,28.6,3.95,0.742,0.785,0.881,0.789,0.754
cell_0348,749,592350,29.2,3.84,0.727,0.739,0.864,0.76,0.755
cell_0349,743,667241,29.1,3.87,0.699,0.777,0.894,0.771,0.774
cell_0350,828,681657,26.7,3.98,0.729,0.786,0.879,0.812,0.733
cell_0351,669,678943,28.9,3.96,0.752,0.719,0.876,0.763,0.742
cell_0352,741,591302,26.9,3.65,0.695,0.785,0.889,0.82,0.756
cell_0353,825,598455,27.4,3.68,0.693,0.732,0.875,0.801,0.733
cell_0354,813,576218,27.6,3.97,0.695,0.719,0.879,0.778,0.764
cell_0355,765,630007,28.0,3.64,0.729,0.733,0.88,0.764,0.758
