grid_id,latitude,longitude,zone_name,total_orders,avg_delivery_time_min,avg_order_value,active_restaurants,active_customers,population_density,competitor_count,road_density_km,is_profitable
cell_0109,28.402252,77.362059,Greater Noida,76,50,300,5,378,3249,2,2.13,0
cell_0110,28.402252,77.367192,Greater Noida,93,49,272,7,499,2917,2,2.01,0
cell_0111,28.402252,77.372325,Greater Noida,93,52,311,5,352,3528,2,2.23,0
cell_0112,28.402252,77.377458,Greater Noida,90,46,331,5,420,3462,2,2.16,0
cell_0113,28.402252,77.382591,Greater Noida,96,45,337,5,457,2848,2,2.14,0
cell_0114,28.402252,77.387724,Greater Noida,77,44,363,5,498,2967,2,1.97,0
cell_0115,28.402252,77.392857,Greater Noida,84,45,303,6,455,3192,2,1.96,0
cell_0116,28.402252,77.39799,Greater Noida,82,47,300,5,434,3454,2,2.12,0
cell_0117,28.406757,76.802566,Greater Noida,108,49,359,5,445,3538,2,2.07,0
cell_0118,28.406757,76.807699,Greater Noida,96,46,362,6,390,3184,2,1.88,0
cell_0119,28.406757,76.812832,Greater Noida,96,44,342,5,413,3022,2,2.05,0
cell_0120,28.406757,76.817965,Greater Noida,98,52,330,7,493,3516,2,1.88,0
cell_0121,28.406757,76.823098,Greater Noida,79,47,368,6,440,3424,2,1.79,0
cell_0122,28.406757,76.828231,Greater Noida,96,45,338,5,441,2870,2,2.21,0
cell_0123,28.406757,76.833364,Greater Noida,88,50,287,5,465,3564,2,1.89,0
cell_0124,28.406757,76.838497,Greater Noida,105,48,348,6,470,3341,2,2.12,0
cell_0125,28.406757,76.84363,Greater Noida,99,47,288,6,481,3419,2,1.89,0
cell_0126,28.406757,76.848763,Greater Noida,108,48,280,6,467,3156,2,1.84,0
cell_0127,28.406757,76.853896,Greater Noida,106,49,310,7,421,3276,2,1.81,0
cell_0128,28.406757,76.859029,Greater Noida,84,49,349,6,395,3498,2,1.81,0
cell_0129,28.406757,76.864162,Greater Noida,82,44,312,6,478,3158,2,1.77,0
cell_0130,28.406757,76.869295,Greater Noida,99,52,292,5,405,3239,2,1.87,0
cell_0131,28.406757,76.874428,Greater Noida,85,50,355,5,454,3472,2,2.06,0
cell_0132,28.406757,76.879561,Greater Noida,85,47,312,7,336,2999,2,1.98,0
cell_0133,28.406757,76.884694,Greater Noida,80,51,306,6,390,2980,2,2.0,0
cell_0134,28.406757,76.889827,Greater Noida,104,51,339,6,455,2839,2,1.89,0
cell_0135,28.406757,76.89496,Greater Noida,82,45,281,5,504,3206,2,2.03,0
cell_0136,28.406757,76.900093,Greater Noida,78,49,277,6,414,3009,2,1.93,0
cell_0137,28.406757,76.905226,Greater Noida,101,48,310,6,423,3365,2,2.0,0
cell_0138,28.406757,76.910359,Greater Noida,104,48,312,5,445,3327,2,1.83,0
cell_0139,28.406757,76.915492,Greater Noida,107,48,306,5,387,3486,2,2.06,0
cell_0140,28.406757,76.920625,Greater Noida,72,48,367,5,408,3513,2,2.19,0
cell_0141,28.406757,76.925757,Greater Noida,97,48,343,7,450,2895,2,2.02,0
cell_0142,28.406757,76.93089,Greater Noida,96,45,347,6,431,3004,2,2.2,0
cell_0143,28.406757,76.936023,Greater Noida,81,53,325,5,390,3145,2,1.91,0
cell_0144,28.406757,76.941156,Greater Noida,96,48,288,7,440,2924,2,2.08,0
cell_0145,28.406757,76.946289,Greater Noida,86,52,352,6,477,3161,2,2.14,0
cell_0146,28.406757,76.951422,Greater Noida,107,44,345,5,399,3547,2,1.97,0
cell_0147,28.406757,76.956555,Greater Noida,81,51,342,6,495,3559,2,1.99,0
cell_0148,28.406757,76.961688,Greater Noida,102,45,348,6,424,3562,2,2.06,0
cell_0149,28.406757,76.966821,Greater Noida,105,44,309,5,461,3554,2,1.94,0
cell_0150,28.406757,76.971954,Greater Noida,73,47,304,7,382,3560,2,2.22,0
cell_0151,28.406757,76.977087,Greater Noida,105,50,363,5,372,3132,2,2.11,0
cell_0152,28.406757,76.98222,Greater Noida,76,51,273,5,477,3120,2,2.15,0
cell_0153,28.406757,76.987353,Greater Noida,90,46,328,7,486,3071,2,1.96,0
cell_0154,28.406757,76.992486,Greater Noida,104,47,300,6,393,3002,2,1.86,0
cell_0155,28.406757,76.997619,Greater Noida,91,50,335,6,380,3206,2,1.96,0
cell_0156,28.406757,77.002752,Greater Noida,83,43,325,5,482,3384,2,1.85,0
cell_0157,28.406757,77.007885,Greater Noida,100,47,343,6,492,2890,2,1.97,0
cell_0158,28.406757,77.013018,Greater Noida,99,51,287,6,421,2911,2,2.04,0
cell_0159,28.406757,77.018151,Greater Noida,89,49,313,7,397,3131,2,2.19,0
cell_0160,28.406757,77.023284,Greater Noida,79,52,328,7,404,3573,2,2.0,0
cell_0161,28.406757,77.028417,Greater Noida,75,53,315,5,360,2942,2,2.03,0
cell_0162,28.406757,77.03355,Greater Noida,105,47,274,6,348,3233,2,1.94,0
cell_0163,28.406757,77.038683,Greater Noida,88,52,320,5,482,3140,2,2.03,0
cell_0164,28.406757,77.043816,Greater Noida,78,49,331,5,452,2862,2,1.81,0
cell_0165,28.406757,77.048949,Greater Noida,105,48,286,7,429,3475,2,1.87,0
cell_0166,28.406757,77.054081,Greater Noida,79,49,315,6,452,3203,2,1.82,0
cell_0167,28.406757,77.059214,Greater Noida,101,44,313,7,356,3513,2,2.14,0
cell_0168,28.406757,77.064347,Greater Noida,74,44,327,7,446,2933,2,1.97,0
cell_0169,28.406757,77.06948,Greater Noida,105,52,289,5,362,3409,2,2.17,0
cell_0170,28.406757,77.074613,Greater Noida,88,50,296,5,382,3135,2,2.09,0
cell_0171,28.406757,77.079746,Greater Noida,97,43,360,6,412,3269,2,2.21,0
cell_0172,28.406757,77.084879,Greater Noida,75,51,334,7,371,3313,2,1.82,0
cell_0173,28.406757,77.090012,Greater Noida,74,47,342,5,449,2892,2,1.96,0
cell_0174,28.406757,77.095145,Greater Noida,102,51,348,6,384,3467,2,2.03,0
cell_0175,28.406757,77.100278,Greater Noida,81,48,290,7,434,3162,2,2.23,0
cell_0176,28.406757,77.105411,Greater Noida,78,44,302,6,378,2854,2,2.12,0
cell_0177,28.406757,77.110544,Greater Noida,73,52,304,6,342,3488,2,2.19,0
cell_0178,28.406757,77.115677,Greater Noida,87,50,314,6,389,3413,2,2.07,0
cell_0179,28.406757,77.12081,Greater Noida,75,46,319,5,342,3334,2,2.18,0
cell_0180,28.406757,77.125943,Greater Noida,103,50,360,5,453,3064,2,1.93,0
cell_0181,28.406757,77.131076,Greater Noida,82,45,329,6,422,3487,2,1.99,0
cell_0182,28.406757,77.136209,Greater Noida,83,52,345,5,368,3494,2,1.78,0
cell_0183,28.406757,77.141342,Greater Noida,91,51,304,5,383,3292,2,2.11,0
cell_0184,28.406757,77.146475,Greater Noida,79,52,339,7,385,2839,2,1.97,0
cell_0185,28.406757,77.151608,Greater Noida,91,49,311,5,490,3350,2,2.09,0
cell_0186,28.406757,77.156741,Greater Noida,77,44,342,6,388,3526,2,2.23,0
cell_0187,28.406757,77.161874,Greater Noida,101,44,296,6,501,2843,2,1.88,0
cell_0188,28.406757,77.167007,Greater Noida,105,45,312,6,444,3278,2,2.05,0
cell_0189,28.406757,77.17214,Greater Noida,94,45,321,5,501,3498,2,2.23,0
cell_0190,28.406757,77.177272,Greater Noida,82,49,313,5,447,2863,2,1.79,0
cell_0191,28.406757,77.182405,Greater Noida,104,44,357,6,427,3208,2,1.76,0
cell_0192,28.406757,77.187538,Greater Noida,77,51,352,7,397,2827,2,1.96,0
cell_0193,28.406757,77.192671,Greater Noida,106,47,358,6,339,3164,2,2.14,0
cell_0194,28.406757,77.197804,Greater Noida,101,52,345,7,356,3559,2,1.78,0
cell_0195,28.406757,77.202937,Greater Noida,73,51,283,6,432,3293,2,1.89,0
cell_0196,28.406757,77.20807,Greater Noida,104,48,331,6,405,3044,2,2.03,0
cell_0197,28.406757,77.213203,Greater Noida,108,47,302,7,462,2885,2,2.05,0
cell_0198,28.406757,77.218336,Greater Noida,73,44,352,5,443,2883,2,1.8,0
cell_0199,28.406757,77.223469,Greater Noida,95,48,347,7,502,3088,2,1.92,0
cell_0200,28.406757,77.228602,Greater Noida,94,44,365,6,366,2939,2,1.91,0
cell_0201,28.406757,77.233735,Greater Noida,88,46,277,7,504,3146,2,1.85,0
cell_0202,28.406757,77.238868,Greater Noida,98,48,358,6,414,3135,2,1.91,0
cell_0203,28.406757,77.244001,Greater Noida,77,52,300,6,486,3477,2,1.84,0
cell_0204,28.406757,77.249134,Greater Noida,103,49,298,5,442,2875,2,2.05,0
cell_0205,28.406757,77.254267,Greater Noida,104,45,334,6,414,3552,2,2.15,0
cell_0206,28.406757,77.2594,Greater Noida,88,44,287,6,425,3362,2,1.97,0
cell_0207,28.406757,77.264533,Greater Noida,96,46,364,5,380,3465,2,2.18,0
cell_0208,28.406757,77.269666,Greater Noida,107,49,338,7,400,3416,2,1.9,0
cell_0209,28.406757,77.274799,Greater Noida,107,45,321,6,463,2896,2,2.18,0
cell_0210,28.406757,77.279932,Greater Noida,75,51,337,6,488,3013,2,2.21,0
cell_0211,28.406757,77.285065,Greater Noida,98,45,294,5,373,2961,2,1.81,0
cell_0212,28.406757,77.290198,Greater Noida,91,53,299,7,470,3304,2,2.15,0
cell_0213,28.406757,77.295331,Greater Noida,106,52,353,5,476,3195,2,2.16,0
cell_0214,28.406757,77.300463,Greater Noida,93,52,347,7,427,3222,2,2.15,0
cell_0215,28.406757,77.305596,Greater Noida,102,53,303,6,364,3380,2,1.92,0
cell_0216,28.406757,77.310729,Greater Noida,75,51,355,5,406,2972,2,1.99,0
cell_0217,28.406757,77.315862,Greater Noida,75,47,279,6,424,3341,2,2.22,0
cell_0218,28.406757,77.320995,Greater Noida,99,48,319,7,423,3079,2,2.07,0
cell_0219,28.406757,77.326128,Greater Noida,80,52,298,6,392,3078,2,1.94,0
cell_0220,28.406757,77.331261,Greater Noida,108,48,328,7,444,3413,2,1.84,0
cell_0221,28.406757,77.336394,Greater Noida,76,51,319,7,371,3505,2,1.96,0
cell_0222,28.406757,77.341527,Greater Noida,74,47,276,5,467,3435,2,1.91,0
cell_0223,28.406757,77.34666,Greater Noida,92,45,354,5,348,3373,2,2.23,0
cell_0224,28.406757,77.351793,Greater Noida,84,45,356,5,463,3483,2,1.82,0
cell_0225,28.406757,77.356926,Greater Noida,80,46,306,5,439,3350,2,2.05,0
cell_0226,28.406757,77.362059,Greater Noida,81,46,280,5,493,3011,2,2.22,0
cell_0227,28.406757,77.367192,Greater Noida,86,44,347,7,446,3082,2,1.95,0
cell_0228,28.406757,77.372325,Greater Noida,75,44,331,5,371,3145,2,1.8,0
cell_0229,28.406757,77.377458,Greater Noida,97,48,367,6,397,3188,2,2.19,0
cell_0230,28.406757,77.382591,Greater Noida,99,44,354,5,484,2976,2,2.19,0
cell_0231,28.406757,77.387724,Greater Noida,93,53,297,6,404,3412,2,2.14,0
cell_0232,28.406757,77.392857,Greater Noida,73,47,317,6,409,3556,2,2.09,0
cell_0233,28.406757,77.39799,Greater Noida,99,46,297,5,417,3578,2,1.97,0
cell_0234,28.411261,76.802566,Greater Noida,101,46,279,7,366,3568,2,1.79,0
cell_0235,28.411261,76.807699,Greater Noida,90,48,275,5,340,3463,2,1.96,0
cell_0236,28.411261,76.812832,Greater Noida,76,50,308,5,488,3096,2,2.16,0
cell_0237,28.411261,76.817965,Greater Noida,86,48,325,6,407,2993,2,1.95,0
cell_0238,28.411261,76.823098,Greater Noida,102,52,274,6,384,3503,2,2.01,0
cell_0239,28.411261,76.828231,Greater Noida,88,53,289,6,354,2848,2,2.16,0
cell_0240,28.411261,76.833364,Greater Noida,73,51,277,6,503,3249,2,1.88,0
cell_0241,28.411261,76.838497,Greater Noida,83,44,278,6,466,3322,2,2.02,0
cell_0242,28.411261,76.84363,Greater Noida,101,49,289,7,360,3255,2,1.97,0
cell_0243,28.411261,76.848763,Greater Noida,103,52,303,5,399,2923,2,2.03,0
cell_0244,28.411261,76.853896,Greater Noida,99,51,278,6,349,2881,2,1.8,0
cell_0245,28.411261,76.859029,Greater Noida,94,52,339,6,467,3182,2,2.2,0
cell_0246,28.411261,76.864162,Greater Noida,73,48,293,6,465,3213,2,2.16,0
cell_0247,28.411261,76.869295,Greater Noida,108,47,356,5,447,3048,2,1.77,0
cell_0248,28.411261,76.874428,Greater Noida,83,48,346,6,416,3420,2,2.0,0
cell_0249,28.411261,76.879561,Greater Noida,90,48,282,5,423,3507,2,2.23,0
cell_0250,28.411261,76.884694,Greater Noida,73,43,338,7,490,2967,2,1.83,0
cell_0251,28.411261,76.889827,Greater Noida,76,45,352,5,449,2986,2,1.99,0
cell_0252,28.411261,76.89496,Greater Noida,100,48,295,6,489,3179,2,2.22,0
cell_0253,28.411261,76.900093,Greater Noida,104,44,361,6,350,2867,2,2.14,0
cell_0254,28.411261,76.905226,Greater Noida,72,48,309,7,438,3204,2,2.03,0
cell_0255,28.411261,76.910359,Greater Noida,107,52,309,6,439,3411,2,2.17,0
cell_0256,28.411261,76.915492,Greater Noida,95,48,337,6,419,3392,2,1.95,0
cell_0257,28.411261,76.920625,Greater Noida,96,47,339,7,399,3561,2,2.22,0
cell_0258,28.411261,76.925757,Greater Noida,93,44,273,7,475,3441,2,2.01,0
cell_0259,28.411261,76.93089,Greater Noida,92,45,276,6,440,3430,2,2.19,0
cell_0260,28.411261,76.936023,Greater Noida,94,48,298,6,472,3455,2,2.24,0
cell_0261,28.411261,76.941156,Greater Noida,74,52,342,6,489,3109,2,2.17,0
cell_0262,28.411261,76.946289,Greater Noida,94,50,361,6,464,2999,2,2.08,0
cell_0263,28.411261,76.951422,Greater Noida,94,49,281,5,357,2847,2,1.87,0
cell_0264,28.411261,76.956555,Greater Noida,107,44,362,7,464,3263,2,2.09,0
cell_0265,28.411261,76.961688,Greater Noida,87,49,340,7,376,3522,2,1.99,0
cell_0266,28.411261,76.966821,Greater Noida,98,45,350,6,427,3537,2,2.1,0
cell_0267,28.411261,76.971954,Greater Noida,92,47,300,6,355,3268,2,1.82,0
cell_0268,28.411261,76.977087,Greater Noida,77,52,361,6,441,2853,2,2.23,0
cell_0269,28.411261,76.98222,Greater Noida,81,53,341,5,349,3088,2,1.79,0
cell_0270,28.411261,76.987353,Greater Noida,75,53,366,6,474,2879,2,2.12,0
cell_0271,28.411261,76.992486,Greater Noida,72,50,314,6,381,3349,2,2.16,0
cell_0272,28.411261,76.997619,Greater Noida,92,52,296,7,353,3195,2,2.2,0
cell_0273,28.411261,77.002752,Greater Noida,107,52,273,6,496,3473,2,2.16,0
cell_0274,28.411261,77.007885,Greater Noida,87,47,348,7,375,2928,2,2.01,0
cell_0275,28.411261,77.013018,Greater Noida,91,51,275,7,503,3038,2,2.08,0
cell_0276,28.411261,77.018151,Greater Noida,99,47,278,7,356,3368,2,1.81,0
cell_0277,28.411261,77.023284,Greater Noida,102,51,321,6,383,2950,2,2.0,0
cell_0278,28.411261,77.028417,Greater Noida,104,50,306,6,371,2987,2,2.12,0
cell_0279,28.411261,77.03355,Greater Noida,77,45,328,6,472,2820,2,1.8,0
cell_0280,28.411261,77.038683,Greater Noida,102,45,353,6,476,3451,2,1.8,0
cell_0281,28.411261,77.043816,Greater Noida,83,51,300,5,416,3500,2,1.77,0
cell_0282,28.411261,77.048949,Greater Noida,108,49,311,5,461,3115,2,1.94,0
cell_0283,28.411261,77.054081,Greater Noida,96,50,342,7,436,3564,2,1.9,0
cell_0284,28.411261,77.059214,Greater Noida,77,47,348,5,433,3538,2,1.94,0
cell_0285,28.411261,77.064347,Greater Noida,87,51,331,7,405,3397,2,1.97,0
cell_0286,28.411261,77.06948,Greater Noida,96,44,276,6,387,3260,2,2.04,0
cell_0287,28.411261,77.074613,Greater Noida,107,47,355,6,451,3088,2,2.05,0
cell_0288,28.411261,77.079746,Greater Noida,102,47,326,7,383,3534,2,1.77,0
cell_0289,28.411261,77.084879,Greater Noida,94,48,286,5,501,3505,2,1.81,0
cell_0290,28.411261,77.090012,Greater Noida,94,50,322,5,449,3145,2,1.91,0
cell_0291,28.411261,77.095145,Greater Noida,107,50,316,5,345,3435,2,2.13,0
cell_0292,28.411261,77.100278,Greater Noida,87,47,277,7,338,3175,2,2.13,0
cell_0293,28.411261,77.105411,Greater Noida,85,47,347,7,422,3238,2,2.08,0
cell_0294,28.411261,77.110544,Greater Noida,89,50,295,7,345,3117,2,2.11,0
cell_0295,28.411261,77.115677,Greater Noida,87,52,304,7,337,2832,2,1.78,0
cell_0296,28.411261,77.12081,Greater Noida,81,47,366,5,494,3416,2,1.98,0
cell_0297,28.411261,77.125943,Greater Noida,104,52,315,5,347,3080,2,1.98,0
cell_0298,28.411261,77.131076,Greater Noida,73,51,332,5,483,3542,2,1.81,0
cell_0299,28.411261,77.136209,Greater Noida,108,53,282,5,350,3384,2,2.08,0
cell_0300,28.411261,77.141342,Greater Noida,92,50,359,6,457,3317,2,2.19,0
cell_0301,28.411261,77.146475,Greater Noida,97,48,283,5,430,3188,2,2.15,0
cell_0302,28.411261,77.151608,Greater Noida,84,46,360,7,448,3319,2,2.18,0
cell_0303,28.411261,77.156741,Greater Noida,102,47,292,5,451,3037,2,2.1,0
cell_0304,28.411261,77.161874,Greater Noida,100,46,286,7,404,3471,2,1.92,0
cell_0305,28.411261,77.167007,Greater Noida,89,45,287,7,349,3390,2,1.83,0
cell_0306,28.411261,77.17214,Greater Noida,79,47,324,6,410,2820,2,2.09,0
cell_0307,28.411261,77.177272,Greater Noida,107,48,312,6,398,3137,2,2.24,0
cell_0308,28.411261,77.182405,Greater Noida,80,44,344,6,388,3353,2,1.86,0
cell_0309,28.411261,77.187538,Greater Noida,75,44,306,6,382,3048,2,1.87,0
cell_0310,28.411261,77.192671,Greater Noida,98,45,307,6,447,3490,2,1.8,0
cell_0311,28.411261,77.197804,Greater Noida,93,44,290,6,452,3273,2,2.16,0
cell_0312,28.411261,77.202937,Greater Noida,94,51,347,5,405,3263,2,2.12,0
cell_0313,28.411261,77.20807,Greater Noida,103,49,292,6,343,3575,2,2.22,0
